Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,CLFlush,first,HOM,CLFlush,X,E,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=0,c,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,CLFlush,first,HOM,CLFlush,X,E,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=1,d,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,3,1,CLFlush,first,HOM,CLFlush,X,M,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
Hit,4,1,CLFlush,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
Hit,5,1,CLFlush,b,HOM,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Hit,6,1,CLFlush,c,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,EvctCln,0,0,X,0,0,0,CmpU,0
Hit,7,1,CLFlush,d,HOM,CLFlush,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,8,1,CLFlush,first,HOM,CLFlush,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,9,1,CLFlush,first,HOM,CLFlush,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,10,1,CLFlush,e,HOM,X,RspIHit.*/RspFlushed,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=0,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
First Pass,11,1,CLFlush,e,HOM,X,RspIHit.*/RspFlushed,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=1,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
First Pass,12,1,CLFlush,e,HOM,X,RspIHit.*/RspFlushed,S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,no_flush_to_memory,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop needed,13,1,CLFlush,e,HOM,X,!RspIFwdMO,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop needed,14,1,CLFlush,e,HOM,X,RspIFwdMO,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop needed,15,1,CLFlush,e,HOM,X,RspIFwdMO,!LLC_M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop needed,16,1,CLFlush,h,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,I,0,0,0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
Snoop needed,17,1,CLFlush,I,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop needed,18,1,CLFlush,g,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop needed,19,1,CLFlush,f,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,EvctCln,0,0,X,0,0,0,CmpU,0
First Pass,20,1,CLFlush,first,HOM,CLFlush,X,LLC_I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,no_flush_to_memory,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,21,1,CLFlush,first,HOM,CLFlush,X,S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,no_flush_to_memory,0,0,0,0,0,0,X,0,0,0,0,0
No ownership or Miss,22,1,CLFlush,no_flush_to_memory,HOM,CLFlush/SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,m,0,0,0,0,0,0,X,0,0,0,0,0
No ownership or Miss,23,1,CLFlush,m,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,n,0,0,0,InvXtoI,0,0,SI_CmpO,0,0,0,SI_CmpO,0
No ownership or Miss,24,1,CLFlush,n,HOM,SI_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
